# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Product Name,Brand Name,Detail,Dose,Pack Size,Features,Image Link,Product Link
0,ACUMIST CALCIUM,Coromandel, AcuMist Calcium® is a premium self-manufactured calcium-based fertiliser available in concentrated liquid form. It has 11% calcium in liquid form which has higher efficiency as it is fast acting and readily corrects the calcium deficiency in crops. ,3-5 ml/ litre of water (depending on the crop).,"Pack Sizes: 100ml, 250ml, 500ml and 1Litre","AcuMist Calcium® is a foliar spray fertiliser.
It contains high concentration of calcium (11%) in liquid form.
The product is specifically formulated to ensure maximum safety to the crops.
Rapid action with good mobility within the plant.
It has suitable stabilizers and sticking agents for best stability and efficiency of product.",https://www.coromandel.biz/wp-content/uploads/2023/02/acumist-big.png,https://www.coromandel.biz/product-service/acumist-calcium/
1,"FITSOL Grapes Grade 1, 2 & 3",Coromandel,"FITSOL Grapes is a unique 100% water soluble mixture of fertilizers developed for fertigation application in Grape crops. It contains Nitrogen, Phosphorous Potassium and Sulphur enriched with secondary and important trace elements. It is highly customized and recommended for Grape crops for higher productivity in terms of quantity and quality.",Foundation pruning: Recommended during pre-bud differentiation (0-40 days) @ 25kg/acre Fruit pruning: Recommended during bud burst flowering (0-30 days) @ 50kg/acre Foundation pruning: Recommended during bud differentiation (41-65 days) @ 50 kg/acre Fruit pruning: Recommended during flowering TO FRUIT (31-75 days)@ 115 kg/acre Foundation pruning: Recommended during  post-bud differentiation (66-120 days)@ 25 kg/acre Fruit pruning: Recommended during fruit set to veraison (76-105 days)@ 75 kg/acre,Pack Size 25 Kg,"Complete nutrition solution with just with 3 fertigation grades 
Based on stage specific nutritional requirement of the grape crops
Gromor Fitsol Grapes Grade 1 contains N:P:K:S-13:26:13:3, Grade 2 contains N:P:K:S-9:31:16:2 and Grade 3 contains N:P:K:S -10:0:35:4; along with other micronutrients like Mg, Zn, B, Fe, Mn, and Cu
Based on soil fertility status of grapes growing pockets and extensive multi-locational trials in India
Tailor made to produce export quality grapes",https://www.coromandel.biz/wp-content/uploads/2022/06/fitsol-grapes-big.png,https://www.coromandel.biz/product-service/fitsol-grapes-grade-1-2-3/
2,AcuMist Zinc,Coromandel,AcuMist Zinc is in-house manufactured premium Zinc micronutrient fertilizer available in suspension form. AcuMist Zinc is having high Zinc concentration (39.5% Zn w/v) which helps in delivering superior results. Its stable suspension technology ensures uniform spread of Zinc nutrient within the solution. It is having special additives which will result in super spreading action with better use efficiency.,,"Pack Size- 100ml, 250ml, 500ml and 1Litre","AcuMist Zinc is a superior quality Zinc fertilizer for foliar spray
High Zinc concentration (39.5%) in suspension form delivers superior results.
Stable suspension formulation with good flowability.
Special additives for ensuring super spreading action & rain fastness.
Particle size distribution optimized to achieve maximum uptake
Rapid action with good mobility within the plant",https://www.coromandel.biz/wp-content/uploads/2022/06/acumist-zinc-big.png,https://www.coromandel.biz/product-service/acumist-zinc/
3,SULPHAMAX,Coromandel,"This has FSR Technology, which enables faster release of Sulphur, delivering quick and long-lasting benefits, while increasing oil content in oilseeds and protein in pulses.",10 Kg during land preparation and first fertiliser application. Dosage may vary based on crop type.,"Pack Size 1 Kg, 5 Kg, 10 Kg, 25 Kg, 50 Kg","Maximum percentage (90%) of Sulphur in elemental form, with 10% Bentonite clay.
Wider spread of Sulphur particles in soil ensures that the root zone gets Sulphur and results in better uptake.
Faster soil pH correction improves the availability of other nutrients to the crop from an early stage.
The release rate of Sulphate (SO ₄) in soil by Sulphamax matched the requirment of crop.",https://www.coromandel.biz/wp-content/uploads/2021/11/sulphamax_big.png,https://www.coromandel.biz/product-service/sulphamax/
4,BOSMAX,Coromandel,"A combination of elemental Sulphur (80%) and Boron (1.2%), this fertiliser fulfills secondary and micronutrient requirements of crops right from sowing till maturity.",10 kg during land preparation and first fertiliser application. Dosage may vary based on crop type.,"Pack Size 1 Kg, 5 Kg, 10 Kg, 25 Kg, 50 Kg","Wider spread of particles in soil ensure that the root zone gets Sulphur and Boron and results in better intake.
Faster soil pH correction improves the availability of other nutrients to the crop at early stage.
Readily soluble in water.",https://www.coromandel.biz/wp-content/uploads/2021/07/bosmax_big.png,https://www.coromandel.biz/product-service/bosmax/
5,INSTA,Coromandel,"This is an innovative 100% soluble, quick-action fertiliser providing immediate nutrition to crops during the peak growing period.",1.0% concentration (10grams/litre of water) to be used as foliar spray during peak vegetative growth.,Pack Size 1 Kg,"N:P ratio 1:1.
Supplements nutrition requirement for fast vegetative growth.
Highly suitable for foliar application.
Compatible with common pesticides.",https://www.coromandel.biz/wp-content/uploads/2021/11/insta_big.png,https://www.coromandel.biz/product-service/insta/
6,SPONTA,Coromandel,"This is an innovative, fast and instant action 100% soluble fertiliser providing immediate nutrition to crops during the peak growing period.",1.0% concentration (10grams/litre of water) to be used as foliar spray during peak vegetative growth.,Pack Size 1 Kg,"N:P ratio 1:1.
Supplements nutrition requirement for fast vegetative growth.
Highly suitable for foliar application.
Compatible with common pesticides.",https://www.coromandel.biz/wp-content/uploads/2021/11/sponta_big.png,https://www.coromandel.biz/product-service/sponta/
7,FITSOL SOLANACEAE GRADES 1 & 2,Coromandel,"A unique 100% water-soluble fertiliser developed for fertigation application in Solanaceous crops like tomato, chilli, capsicum, brinjal etc.",FITSOL Solanaceae 1: 100kg/acre (2kg/day) (from 10 DAT to 60 DAT) FITSOL Solanaceae 2: 140kg/acre (2-2.5kg/day) (from 61 DAT to 120 DAT) FITSOL Solanaceae 1: 100kg/acre (2kg/day) (from 10 DAT to 65 DAT) FITSOL Solanaceae 2: 120kg/acre (1.5kg/day) (from 66 DAT to 145 DAT) FITSOL Solanaceae 1: 50kg/acre (1.5kg/day) (from 15 DAT to 50 DAT) FITSOL Solanaceae 2: 75kg/acre (2kg/day) (from 51 DAT to 85 DAT),Pack Size 25 Kg,"FITSOL Solanaceae Grade 1 contains N:P:K:S -21:12:16:2 with Mg, Zn, B, Fe, Mn, Cu and FITSOL Solanaceae Grade 2 contains N:P:K:S – 14:5:32:2 with Mg, Zn, B, Fe, Cu.
Advance water-soluble fertiliser for fertigation in solanaceous crops.
Highly customised (crop and stage specific) solution for fertigation crops.
Enriched with primary and secondary micronutrients (9-10 nutrients in each product).
Non-volatile, easy to apply with no Nitrogen losses to the atmosphere.
It is a free flowing product that quickly dissolves in water.",https://www.coromandel.biz/wp-content/uploads/2021/07/fitsol-solanaceae-big.png,https://www.coromandel.biz/product-service/fitsol-solanaceae-grades-1-and-2/
8,FITSOL BANANA GRADES 1 & 2,Coromandel,"Highly customised for the banana crop, this unique 100% water-soluble fertiliser ensures higher productivity in terms of quality and quantity.",Root Development: 15-50 DAT – GROMOR FITSOL Banana 1 – 25 Kg/acre dose Vegetative: 51-105 DAT – GROMOR FITSOL Banana 1 – 200 Kg/acre dose Shooting: 106-180 DAT – GROMOR FITSOL Banana 1 – 200 Kg/acre dose Bunch Development: 181-240 DAT – GROMOR FITSOL Banana 2 – 150 Kg/acre dose Fruit Development: 241-280 DAT – GROMOR FITSOL Banana 2 – 150 Kg/acre dose,Pack Size 25 Kg,"Crop-specific customised solution.
FITSOL Banana Grade 1 contains N:P:K – 13:12:26 with S, Mg, Zn, B, Fe, Mn, Cu and FITSOL Banana Grade 2 contains N:P:K – 10:5:36 with S, Mg, Zn, B, Fe, Cu, Mn.
Advance 100% water-soluble mixture of fertiliser for Fertigation.
Enriched with primary and secondary micronutrients (9-10 nutrients in each product).
Two products for complete fertigation schedule as per crop stages.
In alkaline soils, FITSOL Banana lowers the pH in the root zone which helps to improve availability of Phosphates and certain trace elements.",https://www.coromandel.biz/wp-content/uploads/2021/07/fitsol-banana-big.png,https://www.coromandel.biz/product-service/fitsol-banana-grades-1-and-2/
9,FITSOL POMEGRANATE GRADES 1 & 2,Coromandel,A unique 100% water-soluble fertiliser developed for pomegranate crops that ensures complete and balanced nutrient delivery for higher productivity.,At flowering or fruit set (29-106 DAI) – Gromor FITSOL Pomegranate 1 @ 75 Kg/acre. At fruit enlargement and maturity (107-184 DAI)- Gromor FITSOL Pomegranate 2 @ 120Kg/acre.,Pack Size 25 Kg,"Crop-specific customised solution.
FITSOL Pomegranate Grade 1 contains N:P:K:S -8:14:27:4 with Mg, Zn, B, Fe, Mn, Cu and FITSOL Pomegranate Grade 2 contains N:P:K – 10:7:35 with Mg, Zn, B, Fe, Cu, Mn.
Ensures balance nutrition in the crop.
Advance 100% water soluble mixture of fertiliser for fertigation.",https://www.coromandel.biz/wp-content/uploads/2021/07/fitsol-pomegranate-big.png,https://www.coromandel.biz/product-service/fitsol-pomegranate-grades-1-and-2/
