,Product Name,Brand Name,Detail,Dose,Pack Size,Features,Image Link,Product Link
0,ABDA®,Coromandel,"This is a proprietary plant-based bio-stimulant that helps in improving soil microflora, thereby enhancing the nutrition assimilation.",4-8 Kg/acre,"Pack Size 1 Kg, 4 Kg & 10 Kg","A unique proprietary plant-based bio stimulant developed by Coromandel International Limited.
Helps in improving soil microflora and there by enhances the nutrition assimilation.
Helps in strengthening plant defence mechanism.
Improves the quality and quantity of the produce.
Increases the cost benefit ratio.
Approved by IMO control for organic cultivation.",https://www.coromandel.biz/wp-content/uploads/2021/07/abada_big-1.png,https://www.coromandel.biz/product-service/abda/
1,ABDA GOLD®,Coromandel,"This is a variant of ABDA, enriched with organic humic and fulvic acids which help in early crop establishment and providing uniform vegetative growth & maturity.",4-8 Kg/acre,"Pack Size 1 Kg, 4 Kg & 10 Kg","A unique proprietary plant-based bio stimulant developed by Coromandel International Limited.
Variant of ABDA enriched with organic humic and fulvic acids.
Helps in early crop establishment.
Strengthens plant defence mechanism.
Provides uniform vegetative growth & maturity.
Improves the quality and quantity of the produce.
Improves the economic yield of the crop.",https://www.coromandel.biz/wp-content/uploads/2021/07/abda-gold.png,https://www.coromandel.biz/product-service/abda-gold/
2,NEEMAZAL F®,Coromandel,"With Azadirachtin at 50000 ppm concentration and registered under CIB & RC, this is an effective insecticide managing both chewing & sucking pests.",1-2 ml/litre of water,"Pack Size 100 mL, 259 mL, 500 mL, 1L & 5L","Azadirachtin product with 50000ppm concentration registered under CIB & RC.
Approved with 2-year shelf under CIB & RC.
Translocate through both xylem & phloem which helps in managing both chewing & sucking pest.
Controls insect during all life stage such as egg, larva, pupa and adult.
Provides multiple mode of action such as antifeedant, repellent, Insect growth regulator and ovipositional deterrent, etc.
Product with good translocation activity and acropetal movement.",https://www.coromandel.biz/wp-content/uploads/2021/07/neemazal-f.png,https://www.coromandel.biz/product-service/neemazal-f/
3,NEEMAZAL T/S®,Coromandel,"Registered under CIB & RC, with Azadirachtin at 10000 ppm concentration this helps in managing both chewing & defoliating pests.",3 ml/litre of water,"Pack Size 100 ml, 250 ml, 500 ml, 1L, 5L, 10L, 20L, & 50L","Organic certified product by IMO control.
Azadirachtin product with 10000 ppm concentration registered under CIB & RC.
Approved with 2-year shelf under CIB & RC.
Helps in managing chewing/defoliating pests.
Product with good translaminar action.
Controls insect during all life stage such as egg, larva, pupa and adult.
Provides multiple mode of action such as antifeedant, repellent, insect growth regulator and ovipositional deterrent etc.",https://www.coromandel.biz/wp-content/uploads/2021/07/neemazal-ts.png,https://www.coromandel.biz/product-service/neemazal-ts/
4,PARRY INDIKA®,Coromandel,"This is an Azadirachtin product with 1500 ppm concentration, effective against both chewing & defoliating pests.",5 ml/litre of water,"Pack Size 100 ml, 250 ml, 500 ml, 1L, 5L & 10L"," Organic certified product by IMO control.
Azadirachtin product with 1500 concentration registered under CIB & RC.
Product produced from high quality neem seed which is free from impurities.
Helps in managing chewing/defoliating pests.
Product with good translaminar action.
Controls insect during all life stage such as egg, larva,  pupa and adult.
Provides multiple mode of action such as antifeedant, repellent, Insect growth regulator and ovipositional deterrent etc.",https://www.coromandel.biz/wp-content/uploads/2021/07/parry-indika.png,https://www.coromandel.biz/product-service/parry-indika/
5,PARRY NEEM®,Coromandel,"It is 100% Neem cake that acts as a soil conditioner which inhibits nitrification, reduces losses and thus ensures that more nitrogen is available to the crops.",150-200 Kg/acre,Pack Size 26 Kg & 40 Kg,"A wholesome neem meal from Neem seed kernels with total quality control.
Parryneem is a clear, pure and hygienic product which acts as a soil conditioner.
Inhibits nitrification, reduces losses and thus makes more nitrogen available to the crops.
Excellent source of natural macro and micro-nutrient.
Provides natural protection to plants from the perils of soil dwelling insect-pests, diseases and nematodes.
Contains Azadirachtin and other limonoids from Neem, which protect plant roots and young plants from wide range of insects-pests due to antifeedant and repellent properties.
Improves yield & increases cost benefit ratio.",https://www.coromandel.biz/wp-content/uploads/2021/07/parry-neem.png,https://www.coromandel.biz/product-service/parry-neem/
6,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/bio-products/
7,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/fungicide/
8,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/herbicide/
9,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/insecticide/
10,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/plant-growth-regulators/
11,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/technical-2/
