,Product Name,Brand Name,Detail,Dose,Pack Size,Features,Image Link,Product Link
0,AAROOSH,Coromandel,"This foliar contact fungicide interferes effectively at different locations in the metabolism of the fungi, preventing spore germination and germ tube formation.",,"Pack Size 100 gm, 250 gm, 500 gm & 1 Kg","Aaroosh is a foliar contact fungicide.
Aaroosh interferes at different locations in the metabolism of the fungi. It prevents spore germination and germ tube formation.
Aaroosh remains on the treated plant surface. It has very good adhesive property and rain fastness.
Aaroosh suspension stays stable without settling down for longtime.
Aaroosh’s multi-site mode of action on fungi prevents the development of resistance against it.
Aaroosh has zinc available in the complex form which is easily taken up by the plants.
Aaroosh can be applied at various stages of crop as a protective treatment on several crops for the control of various fungal diseases.",https://www.coromandel.biz/wp-content/uploads/2021/07/aaroosh.png,https://www.coromandel.biz/product-service/aaroosh/
1,HEXASTOP,Coromandel,"This is a xylem mobile systemic fungicide which has preventive and curative control capabilities, while being safe on humans, birds and mammals.",,"Pack Size 50g, 100 g, 250 g, 500g, 1 kg pack and 5 kg drum","Broad spectrum disease control
A xylem mobile systemic fungicide
Wide spectrum of use – Seed Dressing, Foliar and Drenching
Preventive and curative disease control
Phytotonic effect due to Sulphur atom
Highly effective in controlling a number of fungal diseases with specialised management for few select pathogens
Safe for human beings, birds & mammals – Green triangle",https://www.coromandel.biz/wp-content/uploads/2021/07/hexastop.png,https://www.coromandel.biz/product-service/hexastop/
2,JATAYU,Coromandel,It is a broad-spectrum fungicide with superior protective action thanks to its multisite mode of action and anti-sporulant activity.,,"Pack Size 100 gm, 250 gm & 1 Kg","Broad spectrum fungicide.
It is having superior protective action due to its multisite mode of action and anti-sporulant activity.
It has long persistence on crop surface and low soil mobility.
It gives control up to 10 days.
It is one of the best alternatives in complex disease outbreak situation.",https://www.coromandel.biz/wp-content/uploads/2021/07/jatayu.png,https://www.coromandel.biz/product-service/jatayu/
3,LANCIA,Coromandel,"Patented and unique, this protectant fungicide prevents the fungus from penetrating the plant.",,"Pack Size 100 gm, 250 gm, 500 gm & 1 Kg","Lancia is a patented and unique fungicide.
Lancia has dual action having contact and systemic properties.
Lancia is rapidly absorbed by the plants and translocated towards leaf tips.
It is a protectant fungicide that prevents the fungus from penetrating the plant, which prevents multiplication & spread of pathogen.
It also gives good curative control.
No resistance risk, helpful in resistance management.",https://www.coromandel.biz/wp-content/uploads/2021/07/lancia.png,https://www.coromandel.biz/product-service/lancia/
4,MARLETT M 45,Coromandel,"Besides being a broad-spectrum contact fungicide, it is also an additional source of Zinc and Manganese for the plants.",,"Pack Size 100 gm, 250 gm, 500 gm & 1 kg","It is broad spectrum contact fungicide.
It is having multi-site activity on the cell wall.
It acts as an additional source on Zn and Mn in the plant.
Cost effective and gives long duration of control.",https://www.coromandel.biz/wp-content/uploads/2021/07/marlett-m-45.png,https://www.coromandel.biz/product-service/marlett-m-45/
5,MAGNITE,Coromandel,"It is a broad-spectrum product that offers preventive, systemic and curative activity through its ingredients Azoxystrobin and Difenoconazole.",,"Pack Size 100 mL, 200 mL, 500 mL & 1 L","It is a broad-spectrum product.
It offers preventive, systemic and curative activity.
It provides a resistance management tool.
The product demonstrates rapid uptake with translaminar and xylem-systemic movement.
Its two highly eflcacious active ingredients combine to provide sustained peak performance for maximum yield and high return on investment.",https://www.coromandel.biz/wp-content/uploads/2021/07/magnite.png,https://www.coromandel.biz/product-service/magnite/
6,PROSPELL,Coromandel,"It is a patented broad-spectrum fungicide which has both contact and systemic mode of action, possessing very good preventive and curative properties.",,"Pack Size 100 ml, 250 ml, 500 ml, 1 L","Prospell is a patented and unique fungicide.
Prospell is a broad spectrum fungicide.
Prospell has both contact and systemic mode of action.
Prospell has very good preventive and curative properties which provides flexibility and broad window of application.
No risk of resistance because of multi-site mode of action so helpful in resistance management.
Prospell impacts positively on the physiological activity of the applied crop by improving the yield and quality of the produce, thus fetching better price.",https://www.coromandel.biz/wp-content/uploads/2021/07/prospell.png,https://www.coromandel.biz/product-service/prospell/
7,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/bio-products/
8,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/fungicide/
9,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/herbicide/
10,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/insecticide/
11,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/plant-growth-regulators/
12,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/technical-2/
