,Product Name,Brand Name,Detail,Dose,Pack Size,Features,Image Link,Product Link
0,GROPLUS,Coromandel,"This is the choice of the progressive farmer which helps not only with more seeds, flowers and fruits but also acts as a soil conditioner.",,Pack Size 50 KG,"It conatins 16% Phosphate, 11% Sulphur, 19% Calcium, 0.5% Zinc, 0.2% Boron.
Out of 16%, 14.5% water soluble phosphorous, the maximum content of pre phosphoric acid is 4%. Sulphate sulphur (as S) minimum 11%.",https://www.coromandel.biz/wp-content/uploads/2021/06/groplus_big.png,https://www.coromandel.biz/product-service/groplus/
1,Gromor BoroSuper,Coromandel,Harvest of happiness,,Pack Size 50 KG,"Boron fortified SSP
16% Phosphate, 11% Sulphur, 19% Calcium, 0.2-0.3% Boron",https://www.coromandel.biz/wp-content/uploads/2021/12/gromor_borosuper_big.png,https://www.coromandel.biz/product-service/gromor-borosuper/
2,GROMOR MAGIK,Coromandel,Harvest of happiness,,Pack Size 50 KG,"Zinc fortified SSP
16% Phosphate, 11% Sulphur, 19% Calcium, 0.5% Zinc",https://www.coromandel.biz/wp-content/uploads/2021/12/gromor_magik_big.png,https://www.coromandel.biz/product-service/gromor-magik/
3,GROMOR SSP,Coromandel,"Crafted with 16% Phosphate, 11% Sulphur and 19% Calcium, this fertiliser promises healthy and happy harvests for crops that range from grains to oilseeds to vegetables.",,Pack Size 50 KG,"Contains 16% Phosphate, 11% Sulphur, 19% Calcium.
Friable / equal size of granules, Non lumpy, Guaranteed nutrient.
Accurate weight and Tamper proof seal.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor-ssp_big.png,https://www.coromandel.biz/product-service/gromor-ssp/
4,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/complex/
5,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/dap/
6,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/mop/
7,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/ssp/
8,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/urea/
9,GROMOR MOP,Coromandel,"With Potassium being the only ingredient, this fertiliser is ideal for both basal and top dressing, improving colour, flavour and storing quality of fruits and vegetables.",,Pack Size 50 KG,"In MOP the available K2O is 60%. Sodium as NaCI per cent by weight (on dry basis) maximum – 3.5%.
Moisture per cent by weight, maximum 0.5%.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_mop_big.png,https://www.coromandel.biz/product-service/gromor-potash/
10,GROMOR MOP,Coromandel,,,,,,https://www.coromandel.biz/product-services/urea/
